id,fecha,iniciador,objetivo,lugar_especifico,ciudad,provincia,fuente
1,2015-06-10,Oposicion,Gobierno Sirio,Hrak, Izra',Daraa,SOHR
2,2015-12-28,Gobierno Sirio,Oposicion,En la Brigada 82, Izra',Daraa,SOHR
3,2016-04-08,Gobierno Sirio,ISIS,Tassil-1, Izra',Daraa,SOHR
4,2017-02-20,Gobierno Sirio,Oposicion,Tassil-2, Izra',Daraa,SOHR
5,2016-04-04,Gobierno Sirio,ISIS,Sheikh Saed, Izra',Daraa,SOHR
6,2017-03-27,Oposicion,ISIS,Shinwan, Shaqa,Sweida,SOHR
7,2015-04-30,ISIS,Oposicion,Al este de Samadaniya, Quneitra,Quneitra,Twitter
8,2014-11-17,Oposicion,Gobierno Sirio,Khan Arnaba, Quneitra,Quneitra,Facebook
9,2015-10-12,Oposicion,Gobierno Sirio,Tal Ahmar, A'zaz,Aleppo,SOHR
10,2016-08-25,Oposicion,Gobierno Sirio,Darayya, Darayya,Damasco Rural,SOHR
11,2016-05-19,Gobierno Sirio,Oposicion,al-Qantara, Duma,Damasco Rural,SOHR
12,2016-01-11,Oposicion,Gobierno Sirio,al-Balaliya, Duma,Damasco Rural,Media
13,2015-04-12,Oposicion,Gobierno Sirio,Zamalka,Damasco Rural,Damasco Rural,Media
14,2016-07-06,Gobierno Sirio,Oposicion,Meidaa, Duma,Damasco Rural,SOHR
15,2016-07-07,Gobierno Sirio,Oposicion,Rankus, At Tall,Damasco Rural,SOHR
16,2015-11-22,Gobierno Sirio,ISIS,Hawarin,Homs,Homs,Media
17,2016-03-27,Gobierno Sirio,ISIS,En Aeropuerto Militar Palmyra-Tadmor, Tadmor,Homs,SOHR
18,2016-03-26,Oposicion,ISIS,Al-Mutaqa'adin, Tadmor,Homs,SOHR
19,2015-05-12,Gobierno Sirio,ISIS,al-Sekhna, Tadmor,Homs,SOHR
20,2017-02-01,Oposicion,ISIS,Salba, As Salamiyeh,Hama,SOHR
21,2017-03-31,Oposicion,ISIS,Kafr Omeim,Hama,Hama,SOHR
22,2017-03-31,Gobierno Sirio,Oposicion,Arza,Hama,Hama,SOHR
23,2017-04-23,Oposicion,ISIS,Zor Abu Zeid,Hama,Hama,SOHR
24,2017-04-10,ISIS,Oposicion,Maardis,Hama,Hama,SOHR
25,2016-10-17,ISIS,Gobierno Sirio,Maar Dis,Hama,Hama,SOHR
26,2017-04-23,Gobierno Sirio,Oposicion,Halfaya, Muhradah,Hama,SOHR
27,2017-03-31,Gobierno Sirio,Oposicion,Shezer, Muhradah,Hama,SOHR
28,2016-03-05,Gobierno Sirio,ISIS,En granjas Al-Alam,Deir Ezzor,Deir Ezzor,SOHR
29,2016-10-08,Gobierno Sirio,Oposicion,Ras Al Ain,Hama,Hama,SOHR
30,2017-02-12,Gobierno Sirio,ISIS,al-Ommal,Deir Ezzor,Deir Ezzor,SOHR
31,2016-10-08,ISIS,Oposicion,Khafsine,Hama,Hama,SOHR
