id,fecha,iniciador,objetivo,provincia,fuente
1,2015-03-24,Oposicion,Gobierno Sirio,Daraa,SOHR
2,2016-02-06,Gobierno Sirio,Oposicion,Daraa,Media
3,2016-02-05,Gobierno Sirio,Oposicion,Daraa,Media
4,2016-06-09,Oposicion,Gobierno Sirio,Daraa,Twitter
5,2017-02-28,ISIS,Oposicion,Daraa,SOHR
6,2017-02-20,ISIS,Oposicion,Daraa,SOHR
7,2017-02-20,ISIS,Oposicion,Daraa,SOHR
8,2015-12-28,Gobierno Sirio,Oposicion,Daraa,SOHR
9,2016-01-25,Gobierno Sirio,Oposicion,Daraa,SOHR
10,2016-04-08,Oposicion,ISIS,Daraa,SOHR
11,2017-02-20,ISIS,Oposicion,Daraa,SOHR
12,2016-04-04,Oposicion,ISIS,Daraa,SOHR
13,2017-03-27,Oposicion,ISIS,Sweida,SOHR
14,2017-03-27,Oposicion,ISIS,Sweida,SOHR
15,2017-03-24,Oposicion,ISIS,Sweida,Twitter
16,2015-05-05,Oposicion,ISIS,Quneitra,YouTube
17,2015-04-30,Gobierno Sirio,Oposicion,Quneitra,Twitter
18,2015-04-30,Gobierno Sirio,Oposicion,Quneitra,Twitter
19,2014-11-17,Oposicion,Gobierno Sirio,Quneitra,Facebook
20,2015-02-10,Gobierno Sirio,Oposicion,Daraa,SOHR
21,2014-11-17,Oposicion,Gobierno Sirio,Quneitra,Facebook
22,2015-02-27,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
23,2015-02-07,Oposicion,Gobierno Sirio,Damasco Rural,Facebook
24,2015-10-12,Gobierno Sirio,Oposicion,Aleppo,SOHR
25,2017-01-13,Gobierno Sirio,Oposicion,Damasco Rural,Twitter
26,2017-03-27,Oposicion,ISIS,Damasco Rural,SOHR
27,2016-10-14,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
28,2016-11-08,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
29,2016-08-25,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
30,2016-05-19,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
31,2016-05-19,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
